id,source,location,stars,text_raw,text_clean,aspects,aspects_labels,keyword_matched,polarity_auto,polarity_manual,needs_review,notes,date
726447a1c6,google_maps,Regia Autonomă De Transport Public Iaşi,1,"Incompetență, la capăt de linie nu știi care autobuz pleacă primul, care pleacă ultimul, e aleatoriu, fara logica.","incompetență, la capăt de linie nu știi care autobuz pleacă primul, care pleacă ultimul, e aleatoriu, fara logica.",punctualitate,Punctualitate / Întârzieri,aleatoriu,NEG,,NO,,
726447a1c6,google_maps,Regia Autonomă De Transport Public Iaşi,1,"Incompetență, la capăt de linie nu știi care autobuz pleacă primul, care pleacă ultimul, e aleatoriu, fara logica.","incompetență, la capăt de linie nu știi care autobuz pleacă primul, care pleacă ultimul, e aleatoriu, fara logica.",sofer,Comportament șofer / personal,pleacă,NEG,,NO,,
bc51db809b,google_maps,Regia Autonomă De Transport Public Iaşi,1,"Sa rezolvați problema cu aparatele de cumpărat bilete. De foarte multe ori când am vrut sa iau bilet cu cardul îmi dădea eroare. Și asta la toate aparatele din autobuz... Daca tot faceți o treaba, măcar sa o faceți cum trebuie","sa rezolvați problema cu aparatele de cumpărat bilete. de foarte multe ori când am vrut sa iau bilet cu cardul îmi dădea eroare. și asta la toate aparatele din autobuz... daca tot faceți o treaba, măcar sa o faceți cum trebuie",bilet,Validare bilet / E-ticketing,card,NEG,,NO,,
bcb956b7c2,google_maps,Regia Autonomă De Transport Public Iaşi,1,"Cea mai jalnica companie de transport în comun! Timpi de așteptare de peste 30-40 de minute, personal lipsit de orice urma de bun simt (mai ales controlorii care au o atitudine de recuperator). As fi dat 0 stele daca s- ar fi putut.","cea mai jalnica companie de transport în comun! timpi de așteptare de peste 30-40 de minute, personal lipsit de orice urma de bun simt mai ales controlorii care au o atitudine de recuperator . as fi dat 0 stele daca s- ar fi putut.",punctualitate,Punctualitate / Întârzieri,aștept,NEG,,NO,,
bcb956b7c2,google_maps,Regia Autonomă De Transport Public Iaşi,1,"Cea mai jalnica companie de transport în comun! Timpi de așteptare de peste 30-40 de minute, personal lipsit de orice urma de bun simt (mai ales controlorii care au o atitudine de recuperator). As fi dat 0 stele daca s- ar fi putut.","cea mai jalnica companie de transport în comun! timpi de așteptare de peste 30-40 de minute, personal lipsit de orice urma de bun simt mai ales controlorii care au o atitudine de recuperator . as fi dat 0 stele daca s- ar fi putut.",curatenie,Curățenie vehicul,jalnic,NEG,,NO,,
bcb956b7c2,google_maps,Regia Autonomă De Transport Public Iaşi,1,"Cea mai jalnica companie de transport în comun! Timpi de așteptare de peste 30-40 de minute, personal lipsit de orice urma de bun simt (mai ales controlorii care au o atitudine de recuperator). As fi dat 0 stele daca s- ar fi putut.","cea mai jalnica companie de transport în comun! timpi de așteptare de peste 30-40 de minute, personal lipsit de orice urma de bun simt mai ales controlorii care au o atitudine de recuperator . as fi dat 0 stele daca s- ar fi putut.",sofer,Comportament șofer / personal,controlor,NEG,,NO,,
42bb7ae602,google_maps,Regia Autonomă De Transport Public Iaşi,1,"Stau de peste 30 de minute în stația Metalurgie, așteptând tramvaiul 13. Pe afișaj apare în mod repetat că va sosi „într-un minut” sau „în 10 minute”, însă  tramvaiul nu a venit deloc.
A trecut un 11 atât de aglomerat încât nu s-a putut urca nimeni — oamenii stăteau pe scări și se sprijineau de geamuri.

Este ora 07:50, iar în stație sunt peste 40 de persoane care încearcă să ajungă la muncă, la universitate sau la școală.
Situația aceasta, care se întâmplă frecvent, arată o lipsă de respect grosolana pentru serviciile de nimic oferite.","stau de peste 30 de minute în stația metalurgie, așteptând tramvaiul 13. pe afișaj apare în mod repetat că va sosi într-un minut sau în 10 minute , însă tramvaiul nu a venit deloc. a trecut un 11 atât de aglomerat încât nu s-a putut urca nimeni oamenii stăteau pe scări și se sprijineau de geamuri. este ora 07:50, iar în stație sunt peste 40 de persoane care încearcă să ajungă la muncă, la universitate sau la școală. situația aceasta, care se întâmplă frecvent, arată o lipsă de respect grosolana pentru serviciile de nimic oferite.",punctualitate,Punctualitate / Întârzieri,aștept,NEG,,NO,,
42bb7ae602,google_maps,Regia Autonomă De Transport Public Iaşi,1,"Stau de peste 30 de minute în stația Metalurgie, așteptând tramvaiul 13. Pe afișaj apare în mod repetat că va sosi „într-un minut” sau „în 10 minute”, însă  tramvaiul nu a venit deloc.
A trecut un 11 atât de aglomerat încât nu s-a putut urca nimeni — oamenii stăteau pe scări și se sprijineau de geamuri.

Este ora 07:50, iar în stație sunt peste 40 de persoane care încearcă să ajungă la muncă, la universitate sau la școală.
Situația aceasta, care se întâmplă frecvent, arată o lipsă de respect grosolana pentru serviciile de nimic oferite.","stau de peste 30 de minute în stația metalurgie, așteptând tramvaiul 13. pe afișaj apare în mod repetat că va sosi într-un minut sau în 10 minute , însă tramvaiul nu a venit deloc. a trecut un 11 atât de aglomerat încât nu s-a putut urca nimeni oamenii stăteau pe scări și se sprijineau de geamuri. este ora 07:50, iar în stație sunt peste 40 de persoane care încearcă să ajungă la muncă, la universitate sau la școală. situația aceasta, care se întâmplă frecvent, arată o lipsă de respect grosolana pentru serviciile de nimic oferite.",aglomeratie,Aglomerație,aglomerat,NEG,,NO,,
42bb7ae602,google_maps,Regia Autonomă De Transport Public Iaşi,1,"Stau de peste 30 de minute în stația Metalurgie, așteptând tramvaiul 13. Pe afișaj apare în mod repetat că va sosi „într-un minut” sau „în 10 minute”, însă  tramvaiul nu a venit deloc.
A trecut un 11 atât de aglomerat încât nu s-a putut urca nimeni — oamenii stăteau pe scări și se sprijineau de geamuri.

Este ora 07:50, iar în stație sunt peste 40 de persoane care încearcă să ajungă la muncă, la universitate sau la școală.
Situația aceasta, care se întâmplă frecvent, arată o lipsă de respect grosolana pentru serviciile de nimic oferite.","stau de peste 30 de minute în stația metalurgie, așteptând tramvaiul 13. pe afișaj apare în mod repetat că va sosi într-un minut sau în 10 minute , însă tramvaiul nu a venit deloc. a trecut un 11 atât de aglomerat încât nu s-a putut urca nimeni oamenii stăteau pe scări și se sprijineau de geamuri. este ora 07:50, iar în stație sunt peste 40 de persoane care încearcă să ajungă la muncă, la universitate sau la școală. situația aceasta, care se întâmplă frecvent, arată o lipsă de respect grosolana pentru serviciile de nimic oferite.",informatii_statie,Informații stație / Panouri,afișaj,NEG,,NO,,
456a2f7747,google_maps,Regia Autonomă De Transport Public Iaşi,3,"Am mers cu un tramvai astăzi de-am zis ca- i pică tabla pe drum! Nu e posibil să ai asemenea tarife și să oferi asemenea servicii. Sunt convinsă ca se vor găsi soluții pentru îmbunătățirea transportului public, să încurajăm oamenii sa- l utilizeze. La întoarcere am fost mai norocoasă c- am  mers cu un mijloc de transport nou. Sunt multe de schimbat… mi se par foarte mari tarifele, dar probabil sunt justificate cumva de subvențiile acordate anumitor categorii.  Succes în activitate! Doamne ajută!","am mers cu un tramvai astăzi de-am zis ca- i pică tabla pe drum! nu e posibil să ai asemenea tarife și să oferi asemenea servicii. sunt convinsă ca se vor găsi soluții pentru îmbunătățirea transportului public, să încurajăm oamenii sa- l utilizeze. la întoarcere am fost mai norocoasă c- am mers cu un mijloc de transport nou. sunt multe de schimbat mi se par foarte mari tarifele, dar probabil sunt justificate cumva de subvențiile acordate anumitor categorii. succes în activitate! doamne ajută!",bilet,Validare bilet / E-ticketing,pos,NEU,,YES,,
