review_id,source,location,rating,review_date,text,aspect,sentiment,fragment,overall_sentiment
1,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-04-19T00:25:57.000Z,"POS-urile din tramvai nu merg, tramvaie pline, timp de asteptare lung,  posibilitatea de a mai cumperi prin 24pay nu exista. Cred ca am spus tot cu asta",validare_bilete,negativ,"POS-urile din tramvai nu merg, posibilitatea de a mai cumperi prin 24pay nu exista",negativ
1,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-04-19T00:25:57.000Z,"POS-urile din tramvai nu merg, tramvaie pline, timp de asteptare lung,  posibilitatea de a mai cumperi prin 24pay nu exista. Cred ca am spus tot cu asta",aglomeratie,negativ,tramvaie pline,negativ
1,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-04-19T00:25:57.000Z,"POS-urile din tramvai nu merg, tramvaie pline, timp de asteptare lung,  posibilitatea de a mai cumperi prin 24pay nu exista. Cred ca am spus tot cu asta",frecventa,negativ,timp de asteptare lung,negativ
2,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-02-12T12:31:48.000Z,Buna ziua!nu va functioneaza compostoarele de bilete din tramvaie sau autobuze!Ce ne facem?Ne luam amenda?Sau daca e prea aglomerat si nu pot composta?,validare_bilete,negativ,nu va functioneaza compostoarele de bilete din tramvaie sau autobuze,negativ
2,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-02-12T12:31:48.000Z,Buna ziua!nu va functioneaza compostoarele de bilete din tramvaie sau autobuze!Ce ne facem?Ne luam amenda?Sau daca e prea aglomerat si nu pot composta?,aglomeratie,negativ,daca e prea aglomerat si nu pot composta,negativ
3,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-01-22T19:46:33.000Z,"Vreau să vorbesc puțin despre transportul public. Tramvaiele sunt extrem de murdare pe exterior, mai ales cele noi. Viteza lor este mult prea mică pe multe porțiuni, iar problema s-ar putea rezolva ușor prin crearea de benzi unice în majoritatea zonelor (primăria nici măcar pe cele existente nu reușește să le întrețină - lipsesc mulți stâlpișori, iar pe unele segmente, cum e la Țesătura, au dispărut complet). De exemplu în Tătărași, pe Canta sau în Copou. Stațiile sunt mult prea înguste, un exemplu clar fiind cea din Podu Roș (pentru care primăria a primit amendă). Chiar e atât de greu să elimini o bandă de circulație?! Asfaltul de lângă șine este, în multe locuri, crăpat, cârpit, denivelat și vălurit - se vede clar pe Bd. Alex. cel Bun, inclusiv pe Street View. Primăria are doar 5 autobuze articulate pentru un oraș cu 500.000 de locuitori, incluzând suburbiile. Doar 5 autobuze! Restul achizițiilor sunt de 10 și 12 metri, prea mici chiar și pentru orașe mai mici decât Iașul. Înțeleg că posibil ca proiectele să nu fi permis cumpărarea acestui tip de autobuz, dar cum alte orașe au reușit într-un fel sau altul, s-ar putea și la noi! Ar fi nevoie de mai multe linii de tramvai și să introducem (din nou) troleibuze de 18 metri pentru Bucium, și alte zone. În plus, multe aparate din tramvaie, pentru care s-au cheltuit sute de mii de lei, nu funcționează: fie nu merge ecranul, fie capacul e deschis, și așa mai departe. Tarifele CTP Iași (cel puțin în zona metropolitană) mi se par exagerate! În loc să fie încurajată utilizarea transportului public prin reducerea prețurilor, acestea cresc. Elevii și pensionarii au deja gratuitate, deci cât de greu ar fi să se aplice o reducere, 2,50 lei sau 0,50 € ar fi un preț rezonabil, mai ales că echipamentele necesare există deja, și nu doar pentru Zona 1, ci și pentru restul! În Chișinău este 1,50 RON (6 MDL) pentru tot orașul, inclusiv suburbiile! Deci se poate!",curatenie,negativ,"Tramvaiele sunt extrem de murdare pe exterior, mai ales cele noi",negativ
3,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-01-22T19:46:33.000Z,"Vreau să vorbesc puțin despre transportul public. Tramvaiele sunt extrem de murdare pe exterior, mai ales cele noi. Viteza lor este mult prea mică pe multe porțiuni, iar problema s-ar putea rezolva ușor prin crearea de benzi unice în majoritatea zonelor (primăria nici măcar pe cele existente nu reușește să le întrețină - lipsesc mulți stâlpișori, iar pe unele segmente, cum e la Țesătura, au dispărut complet). De exemplu în Tătărași, pe Canta sau în Copou. Stațiile sunt mult prea înguste, un exemplu clar fiind cea din Podu Roș (pentru care primăria a primit amendă). Chiar e atât de greu să elimini o bandă de circulație?! Asfaltul de lângă șine este, în multe locuri, crăpat, cârpit, denivelat și vălurit - se vede clar pe Bd. Alex. cel Bun, inclusiv pe Street View. Primăria are doar 5 autobuze articulate pentru un oraș cu 500.000 de locuitori, incluzând suburbiile. Doar 5 autobuze! Restul achizițiilor sunt de 10 și 12 metri, prea mici chiar și pentru orașe mai mici decât Iașul. Înțeleg că posibil ca proiectele să nu fi permis cumpărarea acestui tip de autobuz, dar cum alte orașe au reușit într-un fel sau altul, s-ar putea și la noi! Ar fi nevoie de mai multe linii de tramvai și să introducem (din nou) troleibuze de 18 metri pentru Bucium, și alte zone. În plus, multe aparate din tramvaie, pentru care s-au cheltuit sute de mii de lei, nu funcționează: fie nu merge ecranul, fie capacul e deschis, și așa mai departe. Tarifele CTP Iași (cel puțin în zona metropolitană) mi se par exagerate! În loc să fie încurajată utilizarea transportului public prin reducerea prețurilor, acestea cresc. Elevii și pensionarii au deja gratuitate, deci cât de greu ar fi să se aplice o reducere, 2,50 lei sau 0,50 € ar fi un preț rezonabil, mai ales că echipamentele necesare există deja, și nu doar pentru Zona 1, ci și pentru restul! În Chișinău este 1,50 RON (6 MDL) pentru tot orașul, inclusiv suburbiile! Deci se poate!",infrastructura_statii,negativ,"Stațiile sunt mult prea înguste, un exemplu clar fiind cea din Podu Roș",negativ
3,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-01-22T19:46:33.000Z,"Vreau să vorbesc puțin despre transportul public. Tramvaiele sunt extrem de murdare pe exterior, mai ales cele noi. Viteza lor este mult prea mică pe multe porțiuni, iar problema s-ar putea rezolva ușor prin crearea de benzi unice în majoritatea zonelor (primăria nici măcar pe cele existente nu reușește să le întrețină - lipsesc mulți stâlpișori, iar pe unele segmente, cum e la Țesătura, au dispărut complet). De exemplu în Tătărași, pe Canta sau în Copou. Stațiile sunt mult prea înguste, un exemplu clar fiind cea din Podu Roș (pentru care primăria a primit amendă). Chiar e atât de greu să elimini o bandă de circulație?! Asfaltul de lângă șine este, în multe locuri, crăpat, cârpit, denivelat și vălurit - se vede clar pe Bd. Alex. cel Bun, inclusiv pe Street View. Primăria are doar 5 autobuze articulate pentru un oraș cu 500.000 de locuitori, incluzând suburbiile. Doar 5 autobuze! Restul achizițiilor sunt de 10 și 12 metri, prea mici chiar și pentru orașe mai mici decât Iașul. Înțeleg că posibil ca proiectele să nu fi permis cumpărarea acestui tip de autobuz, dar cum alte orașe au reușit într-un fel sau altul, s-ar putea și la noi! Ar fi nevoie de mai multe linii de tramvai și să introducem (din nou) troleibuze de 18 metri pentru Bucium, și alte zone. În plus, multe aparate din tramvaie, pentru care s-au cheltuit sute de mii de lei, nu funcționează: fie nu merge ecranul, fie capacul e deschis, și așa mai departe. Tarifele CTP Iași (cel puțin în zona metropolitană) mi se par exagerate! În loc să fie încurajată utilizarea transportului public prin reducerea prețurilor, acestea cresc. Elevii și pensionarii au deja gratuitate, deci cât de greu ar fi să se aplice o reducere, 2,50 lei sau 0,50 € ar fi un preț rezonabil, mai ales că echipamentele necesare există deja, și nu doar pentru Zona 1, ci și pentru restul! În Chișinău este 1,50 RON (6 MDL) pentru tot orașul, inclusiv suburbiile! Deci se poate!",stare_vehicule,negativ,"multe aparate din tramvaie nu funcționează: fie nu merge ecranul, fie capacul e deschis",negativ
3,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-01-22T19:46:33.000Z,"Vreau să vorbesc puțin despre transportul public. Tramvaiele sunt extrem de murdare pe exterior, mai ales cele noi. Viteza lor este mult prea mică pe multe porțiuni, iar problema s-ar putea rezolva ușor prin crearea de benzi unice în majoritatea zonelor (primăria nici măcar pe cele existente nu reușește să le întrețină - lipsesc mulți stâlpișori, iar pe unele segmente, cum e la Țesătura, au dispărut complet). De exemplu în Tătărași, pe Canta sau în Copou. Stațiile sunt mult prea înguste, un exemplu clar fiind cea din Podu Roș (pentru care primăria a primit amendă). Chiar e atât de greu să elimini o bandă de circulație?! Asfaltul de lângă șine este, în multe locuri, crăpat, cârpit, denivelat și vălurit - se vede clar pe Bd. Alex. cel Bun, inclusiv pe Street View. Primăria are doar 5 autobuze articulate pentru un oraș cu 500.000 de locuitori, incluzând suburbiile. Doar 5 autobuze! Restul achizițiilor sunt de 10 și 12 metri, prea mici chiar și pentru orașe mai mici decât Iașul. Înțeleg că posibil ca proiectele să nu fi permis cumpărarea acestui tip de autobuz, dar cum alte orașe au reușit într-un fel sau altul, s-ar putea și la noi! Ar fi nevoie de mai multe linii de tramvai și să introducem (din nou) troleibuze de 18 metri pentru Bucium, și alte zone. În plus, multe aparate din tramvaie, pentru care s-au cheltuit sute de mii de lei, nu funcționează: fie nu merge ecranul, fie capacul e deschis, și așa mai departe. Tarifele CTP Iași (cel puțin în zona metropolitană) mi se par exagerate! În loc să fie încurajată utilizarea transportului public prin reducerea prețurilor, acestea cresc. Elevii și pensionarii au deja gratuitate, deci cât de greu ar fi să se aplice o reducere, 2,50 lei sau 0,50 € ar fi un preț rezonabil, mai ales că echipamentele necesare există deja, și nu doar pentru Zona 1, ci și pentru restul! În Chișinău este 1,50 RON (6 MDL) pentru tot orașul, inclusiv suburbiile! Deci se poate!",acoperire_rute,negativ,Ar fi nevoie de mai multe linii de tramvai și să introducem (din nou) troleibuze de 18 metri,negativ
3,facebook,https://www.facebook.com/ctpiasi?locale=ro_RO,,2026-01-22T19:46:33.000Z,"Vreau să vorbesc puțin despre transportul public. Tramvaiele sunt extrem de murdare pe exterior, mai ales cele noi. Viteza lor este mult prea mică pe multe porțiuni, iar problema s-ar putea rezolva ușor prin crearea de benzi unice în majoritatea zonelor (primăria nici măcar pe cele existente nu reușește să le întrețină - lipsesc mulți stâlpișori, iar pe unele segmente, cum e la Țesătura, au dispărut complet). De exemplu în Tătărași, pe Canta sau în Copou. Stațiile sunt mult prea înguste, un exemplu clar fiind cea din Podu Roș (pentru care primăria a primit amendă). Chiar e atât de greu să elimini o bandă de circulație?! Asfaltul de lângă șine este, în multe locuri, crăpat, cârpit, denivelat și vălurit - se vede clar pe Bd. Alex. cel Bun, inclusiv pe Street View. Primăria are doar 5 autobuze articulate pentru un oraș cu 500.000 de locuitori, incluzând suburbiile. Doar 5 autobuze! Restul achizițiilor sunt de 10 și 12 metri, prea mici chiar și pentru orașe mai mici decât Iașul. Înțeleg că posibil ca proiectele să nu fi permis cumpărarea acestui tip de autobuz, dar cum alte orașe au reușit într-un fel sau altul, s-ar putea și la noi! Ar fi nevoie de mai multe linii de tramvai și să introducem (din nou) troleibuze de 18 metri pentru Bucium, și alte zone. În plus, multe aparate din tramvaie, pentru care s-au cheltuit sute de mii de lei, nu funcționează: fie nu merge ecranul, fie capacul e deschis, și așa mai departe. Tarifele CTP Iași (cel puțin în zona metropolitană) mi se par exagerate! În loc să fie încurajată utilizarea transportului public prin reducerea prețurilor, acestea cresc. Elevii și pensionarii au deja gratuitate, deci cât de greu ar fi să se aplice o reducere, 2,50 lei sau 0,50 € ar fi un preț rezonabil, mai ales că echipamentele necesare există deja, și nu doar pentru Zona 1, ci și pentru restul! În Chișinău este 1,50 RON (6 MDL) pentru tot orașul, inclusiv suburbiile! Deci se poate!",pret,negativ,"Tarifele CTP Iași mi se par exagerate! În loc să fie încurajată utilizarea transportului public prin reducerea prețurilor, acestea cresc",negativ
