review_id,input,aspect,text,fragment,sentiment,label
1,"aspect: validare_bilete. fragment: POS-urile din tramvai nu merg, posibilitatea de a mai cumperi prin 24pay nu exista. text: POS-urile din tramvai nu merg, tramvaie pline, timp de asteptare lung,  posibilitatea de a mai cumperi prin 24pay nu exista. Cred ca am spus tot cu asta",validare_bilete,"POS-urile din tramvai nu merg, tramvaie pline, timp de asteptare lung,  posibilitatea de a mai cumperi prin 24pay nu exista. Cred ca am spus tot cu asta","POS-urile din tramvai nu merg, posibilitatea de a mai cumperi prin 24pay nu exista",negativ,0
1,"aspect: aglomeratie. fragment: tramvaie pline. text: POS-urile din tramvai nu merg, tramvaie pline, timp de asteptare lung,  posibilitatea de a mai cumperi prin 24pay nu exista. Cred ca am spus tot cu asta",aglomeratie,"POS-urile din tramvai nu merg, tramvaie pline, timp de asteptare lung,  posibilitatea de a mai cumperi prin 24pay nu exista. Cred ca am spus tot cu asta",tramvaie pline,negativ,0
1,"aspect: frecventa. fragment: timp de asteptare lung. text: POS-urile din tramvai nu merg, tramvaie pline, timp de asteptare lung,  posibilitatea de a mai cumperi prin 24pay nu exista. Cred ca am spus tot cu asta",frecventa,"POS-urile din tramvai nu merg, tramvaie pline, timp de asteptare lung,  posibilitatea de a mai cumperi prin 24pay nu exista. Cred ca am spus tot cu asta",timp de asteptare lung,negativ,0
2,aspect: validare_bilete. fragment: nu va functioneaza compostoarele de bilete din tramvaie sau autobuze. text: Buna ziua!nu va functioneaza compostoarele de bilete din tramvaie sau autobuze!Ce ne facem?Ne luam amenda?Sau daca e prea aglomerat si nu pot composta?,validare_bilete,Buna ziua!nu va functioneaza compostoarele de bilete din tramvaie sau autobuze!Ce ne facem?Ne luam amenda?Sau daca e prea aglomerat si nu pot composta?,nu va functioneaza compostoarele de bilete din tramvaie sau autobuze,negativ,0
2,aspect: aglomeratie. fragment: daca e prea aglomerat si nu pot composta. text: Buna ziua!nu va functioneaza compostoarele de bilete din tramvaie sau autobuze!Ce ne facem?Ne luam amenda?Sau daca e prea aglomerat si nu pot composta?,aglomeratie,Buna ziua!nu va functioneaza compostoarele de bilete din tramvaie sau autobuze!Ce ne facem?Ne luam amenda?Sau daca e prea aglomerat si nu pot composta?,daca e prea aglomerat si nu pot composta,negativ,0
4,"aspect: frecventa. fragment: stau de 30 minute în stație la Minerva și aștept un 28 și nu vine. text: Sincer,sa ma ..... pe transportul vostru în comun,stau de 30 minute în stație la Minerva și aștept un 28 și nu vine,recomand orice altceva dar nu CTP,rusine sa va fie,și nu e prima oara ......",frecventa,"Sincer,sa ma ..... pe transportul vostru în comun,stau de 30 minute în stație la Minerva și aștept un 28 și nu vine,recomand orice altceva dar nu CTP,rusine sa va fie,și nu e prima oara ......",stau de 30 minute în stație la Minerva și aștept un 28 și nu vine,negativ,0
4,"aspect: punctualitate. fragment: nu vine, și nu e prima oara. text: Sincer,sa ma ..... pe transportul vostru în comun,stau de 30 minute în stație la Minerva și aștept un 28 și nu vine,recomand orice altceva dar nu CTP,rusine sa va fie,și nu e prima oara ......",punctualitate,"Sincer,sa ma ..... pe transportul vostru în comun,stau de 30 minute în stație la Minerva și aștept un 28 și nu vine,recomand orice altceva dar nu CTP,rusine sa va fie,și nu e prima oara ......","nu vine, și nu e prima oara",negativ,0
5,"aspect: frecventa. fragment: Timpi de asteptare mari. text: Timpi de asteptare mari, refugii de tramvaie inguste si arhipline si nu in ultimul rand sistemul de cumpărare a biletelor foarte prost",frecventa,"Timpi de asteptare mari, refugii de tramvaie inguste si arhipline si nu in ultimul rand sistemul de cumpărare a biletelor foarte prost",Timpi de asteptare mari,negativ,0
5,"aspect: infrastructura_statii. fragment: refugii de tramvaie inguste si arhipline. text: Timpi de asteptare mari, refugii de tramvaie inguste si arhipline si nu in ultimul rand sistemul de cumpărare a biletelor foarte prost",infrastructura_statii,"Timpi de asteptare mari, refugii de tramvaie inguste si arhipline si nu in ultimul rand sistemul de cumpărare a biletelor foarte prost",refugii de tramvaie inguste si arhipline,negativ,0
5,"aspect: validare_bilete. fragment: sistemul de cumpărare a biletelor foarte prost. text: Timpi de asteptare mari, refugii de tramvaie inguste si arhipline si nu in ultimul rand sistemul de cumpărare a biletelor foarte prost",validare_bilete,"Timpi de asteptare mari, refugii de tramvaie inguste si arhipline si nu in ultimul rand sistemul de cumpărare a biletelor foarte prost",sistemul de cumpărare a biletelor foarte prost,negativ,0
6,"aspect: validare_bilete. fragment: cutia albastră, mi-a luat banii, nu am primit biletul, se blocase. text: Tramvaiul 1, cutia albastră, mi-a luat banii, nu am primit biletul, se blocase. Am mers la vatman sa anunț și mi-a zis că o să vadă la capăt. Eu a trebui sa cobor și sa schimb tramvaiul. Fara bani si",validare_bilete,"Tramvaiul 1, cutia albastră, mi-a luat banii, nu am primit biletul, se blocase. Am mers la vatman sa anunț și mi-a zis că o să vadă la capăt. Eu a trebui sa cobor și sa schimb tramvaiul. Fara bani si","cutia albastră, mi-a luat banii, nu am primit biletul, se blocase",negativ,0
6,"aspect: soferi_vatmani. fragment: Am mers la vatman sa anunț și mi-a zis că o să vadă la capăt. text: Tramvaiul 1, cutia albastră, mi-a luat banii, nu am primit biletul, se blocase. Am mers la vatman sa anunț și mi-a zis că o să vadă la capăt. Eu a trebui sa cobor și sa schimb tramvaiul. Fara bani si",soferi_vatmani,"Tramvaiul 1, cutia albastră, mi-a luat banii, nu am primit biletul, se blocase. Am mers la vatman sa anunț și mi-a zis că o să vadă la capăt. Eu a trebui sa cobor și sa schimb tramvaiul. Fara bani si",Am mers la vatman sa anunț și mi-a zis că o să vadă la capăt,negativ,0
7,"aspect: frecventa. fragment: de la un timp de așteptare cât de cât decent acum două săptămâni (15-20 minute între autobuze) s-a ajuns la 30 de minute. text: Ce se întâmplă domnilor cu traseele 42 și 43.De la un timp de așteptare cât de cât decent acum două săptămâni (15-20 minute între autobuze ) s-a ajuns la 30-…doamne ajută.Așa încurajați cetățenii să renunțe mașină?Eu ,de exemplu,revin la mașină.Oricum nu interesează pe cineva din această companie,am risipit 5 minute din viața mea.",frecventa,"Ce se întâmplă domnilor cu traseele 42 și 43.De la un timp de așteptare cât de cât decent acum două săptămâni (15-20 minute între autobuze ) s-a ajuns la 30-…doamne ajută.Așa încurajați cetățenii să renunțe mașină?Eu ,de exemplu,revin la mașină.Oricum nu interesează pe cineva din această companie,am risipit 5 minute din viața mea.",de la un timp de așteptare cât de cât decent acum două săptămâni (15-20 minute între autobuze) s-a ajuns la 30 de minute,negativ,0
7,"aspect: organizare. fragment: Așa încurajați cetățenii să renunțe mașină?. text: Ce se întâmplă domnilor cu traseele 42 și 43.De la un timp de așteptare cât de cât decent acum două săptămâni (15-20 minute între autobuze ) s-a ajuns la 30-…doamne ajută.Așa încurajați cetățenii să renunțe mașină?Eu ,de exemplu,revin la mașină.Oricum nu interesează pe cineva din această companie,am risipit 5 minute din viața mea.",organizare,"Ce se întâmplă domnilor cu traseele 42 și 43.De la un timp de așteptare cât de cât decent acum două săptămâni (15-20 minute între autobuze ) s-a ajuns la 30-…doamne ajută.Așa încurajați cetățenii să renunțe mașină?Eu ,de exemplu,revin la mașină.Oricum nu interesează pe cineva din această companie,am risipit 5 minute din viața mea.",Așa încurajați cetățenii să renunțe mașină?,negativ,0
8,"aspect: stare_vehicule. fragment: Tramvaie in anii revolutiei. text: Tranvaie in anii revolutiei, fara ac, aglomerate si vatmani nesimtiti",stare_vehicule,"Tranvaie in anii revolutiei, fara ac, aglomerate si vatmani nesimtiti",Tramvaie in anii revolutiei,negativ,0
8,"aspect: confort_termic. fragment: fara ac. text: Tranvaie in anii revolutiei, fara ac, aglomerate si vatmani nesimtiti",confort_termic,"Tranvaie in anii revolutiei, fara ac, aglomerate si vatmani nesimtiti",fara ac,negativ,0
8,"aspect: aglomeratie. fragment: aglomerate. text: Tranvaie in anii revolutiei, fara ac, aglomerate si vatmani nesimtiti",aglomeratie,"Tranvaie in anii revolutiei, fara ac, aglomerate si vatmani nesimtiti",aglomerate,negativ,0
8,"aspect: soferi_vatmani. fragment: vatmani nesimtiti. text: Tranvaie in anii revolutiei, fara ac, aglomerate si vatmani nesimtiti",soferi_vatmani,"Tranvaie in anii revolutiei, fara ac, aglomerate si vatmani nesimtiti",vatmani nesimtiti,negativ,0
9,"aspect: informare_calatori. fragment: nu ajuta lumea sa se adapteze la noile carduri. text: nu recomand ctp pentru ca sunt neseriosi, nu ajuta lumea sa se adapteze la noile carduri, misiunea si faptul ca avem transport public este un lucru genial si rutele sunt facute bine dar cum e in tramvaie si autobuze lasa foarte multe semne de întrebare. Nici nu i-au in considerare plangerile trimise pe email, ei trimit doar raspunsuri automate, rutele pentru elevi nu sunt respectate pentru ca nu este nimeni sa opreasca oameni care nu au ce cauta in aceste curse speciale (din cate am inteles politist exista la ruta 9) apreciez ca macar elevi primesc gratis dar daca era dupa ei nu cred ca primeau nimic. si nici acest mesaj nu va face vreo diferenta si nici nu pot schimba ceva peste noapte dar nici nu pare ca isi doresc sa schimbe ceva",informare_calatori,"nu recomand ctp pentru ca sunt neseriosi, nu ajuta lumea sa se adapteze la noile carduri, misiunea si faptul ca avem transport public este un lucru genial si rutele sunt facute bine dar cum e in tramvaie si autobuze lasa foarte multe semne de întrebare. Nici nu i-au in considerare plangerile trimise pe email, ei trimit doar raspunsuri automate, rutele pentru elevi nu sunt respectate pentru ca nu este nimeni sa opreasca oameni care nu au ce cauta in aceste curse speciale (din cate am inteles politist exista la ruta 9) apreciez ca macar elevi primesc gratis dar daca era dupa ei nu cred ca primeau nimic. si nici acest mesaj nu va face vreo diferenta si nici nu pot schimba ceva peste noapte dar nici nu pare ca isi doresc sa schimbe ceva",nu ajuta lumea sa se adapteze la noile carduri,negativ,0
9,"aspect: acoperire_rute. fragment: rutele sunt facute bine. text: nu recomand ctp pentru ca sunt neseriosi, nu ajuta lumea sa se adapteze la noile carduri, misiunea si faptul ca avem transport public este un lucru genial si rutele sunt facute bine dar cum e in tramvaie si autobuze lasa foarte multe semne de întrebare. Nici nu i-au in considerare plangerile trimise pe email, ei trimit doar raspunsuri automate, rutele pentru elevi nu sunt respectate pentru ca nu este nimeni sa opreasca oameni care nu au ce cauta in aceste curse speciale (din cate am inteles politist exista la ruta 9) apreciez ca macar elevi primesc gratis dar daca era dupa ei nu cred ca primeau nimic. si nici acest mesaj nu va face vreo diferenta si nici nu pot schimba ceva peste noapte dar nici nu pare ca isi doresc sa schimbe ceva",acoperire_rute,"nu recomand ctp pentru ca sunt neseriosi, nu ajuta lumea sa se adapteze la noile carduri, misiunea si faptul ca avem transport public este un lucru genial si rutele sunt facute bine dar cum e in tramvaie si autobuze lasa foarte multe semne de întrebare. Nici nu i-au in considerare plangerile trimise pe email, ei trimit doar raspunsuri automate, rutele pentru elevi nu sunt respectate pentru ca nu este nimeni sa opreasca oameni care nu au ce cauta in aceste curse speciale (din cate am inteles politist exista la ruta 9) apreciez ca macar elevi primesc gratis dar daca era dupa ei nu cred ca primeau nimic. si nici acest mesaj nu va face vreo diferenta si nici nu pot schimba ceva peste noapte dar nici nu pare ca isi doresc sa schimbe ceva",rutele sunt facute bine,pozitiv,2
